form,smiles,MW,logP,HBD,HBA,QED,lipinski_pass
full,Cc1ccc(C(=O)C2CC(=O)N2C(=O)C(CCc2ccccc2)NC(=O)C=Cc2ccccc2Cl)cc1,515.0,4.79,1,4,0.253,0
full,CC(C)C(=O)NCCCS(=O)(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)(C)C,412.6,2.86,2,5,0.607,1
full,CCOC(C(=O)NC(Cc1ccccc1)C(=O)NCCc1ccccc1)[C@H]1/C=C/C(=O)/C=C/CO[SH](C)(=O)N(C)c2ccccc2O1,661.8,3.55,3,7,0.269,0
full,CCC(NC(=O)C(N=C(c1cc(F)cc(F)c1)c1noc(C)n1)c1ccccc1)C(=O)NCCc1ccccc1,545.6,4.49,2,6,0.27,0
full,N#CCn1ccnc1-c1ccccc1-c1ccc(C(F)(F)F)cc1,327.3,4.76,0,2,0.696,1
full,CC(C)CC(NC(=O)c1c(Cl)cc(Cl)c2c1OCO2)C(=O)NC(=O)OCc1ccccc1,481.3,4.32,2,6,0.611,1
full,CN(C)C(=O)C(Cc1ccc(Br)cc1)NC(=O)c1ccc(-c2ccccc2)cc1,451.4,4.55,1,2,0.598,1
full,CSC[C@H](CC#N)NC(=O)C(C/C=C/P(C)(=O)Oc1ccccc1)NC(=O)c1ccc(C(F)(F)F)cc1,553.5,5.46,2,6,0.338,0
full,COc1ccc(C#C[C@@H](NC(=O)OC(=O)N(C)c2cccc(C(F)(F)F)c2)C(C#N)c2ccc(Cl)cc2)cc1,555.9,6.38,1,5,0.291,0
full,C[C@@H](c1ccccc1)C(NC(=O)Oc1ccccc1)C(=O)NCC#N,337.4,2.59,2,4,0.793,1
full,COc1cc(O)c(-c2c[nH]c(=O)o2)cc1OC,237.2,1.36,2,5,0.841,1
full,CSCC(C=O)NC(=O)C(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NCC(C)C,497.7,2.39,3,5,0.275,1
full,CC(C)CCC(=O)NC(Cc1ccsc1)C(NC(=O)c1ccc2c(c1)OCO2)NC(=O)C1CCCC1,513.7,4.0,3,6,0.394,0
full,N#CN=C(Cc1ccc(O)cc1)C(=O)Nc1cccc(C(F)(F)F)c1,347.3,3.51,2,4,0.655,1
full,CC(C)CCOC(=O)N(C#N)C(=O)OC(C)C,242.3,2.5,0,5,0.559,1
full,CC(NC(=O)OCC(F)(F)F)C(=O)N[C@@H](CO)c1ccc(C(F)(F)F)cc1,402.3,2.53,3,4,0.639,1
full,CC(C)CC(NC(=O)COC1CCCCC1)C(=O)NC(Cc1ccccc1)C(=O)NS(=O)(=O)CCCc1ccccc1,599.8,3.67,3,6,0.27,0
full,CC(C)CC(NC(=O)OCc1ccc(Cl)c(Cl)c1)C(=O)O,334.2,3.72,2,3,0.831,1
full,CC(C)(C)OC(=O)c1ccc(C(=O)C2(C#N)CC2)cc1,271.3,3.13,0,4,0.625,1
full,COC(=O)CN1CCCC1C(=O)NC(CSCc1ccccc1)C(=O)NCc1ccccc1,469.6,2.36,2,6,0.492,1
full,COc1ccc(/C=C/C(F)(F)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)Nc2nc(-c3cccs3)cs2)cc1,576.7,5.2,3,7,0.275,0
full,N#CC[C@H](CSc1ccccc1)NC(=O)C(CCc1ccccc1)NC(=O)c1ccc(N2CCOCC2)cc1,542.7,4.45,2,6,0.329,0
full,CC(C)C(Nc1ccc(F)cc1F)C(=O)C1(C#N)CC1,278.3,3.27,1,3,0.899,1
full,O=C(OCc1nc2ccccc2n1Cc1c[nH]c2ccc(Br)cc12)N1CCOCC1,469.3,4.3,1,4,0.484,1
full,N#CC(NC(=O)c1ccc(F)cc1)N(CCC1CCCCC1)S(=O)(=O)Cc1ccccc1,457.6,4.21,1,4,0.571,1
full,CC(C)C(NC(C(=O)C(N)=O)C(C)C)C(=O)NC1CS(=O)(=O)c2ccccc2C1=O,437.5,-0.17,3,7,0.478,1
full,CC(C)(C)Oc1c(C#N)cc(C(c2ccccc2)C(F)(F)F)nc1N,349.4,4.41,1,4,0.891,1
full,O=C(NC(Cc1ccccc1)C(=O)O[C@@H]1CCN(Cc2ccccc2)C1)OCc1ccccc1,458.6,4.34,1,5,0.483,1
full,CS(=O)(=O)C[C@@H](CC#N)NC(=O)C1CCC[C@@H]1OCc1ccccc1,364.5,1.81,1,5,0.759,1
full,N#CC1(NC(=O)C(c2cccs2)C(Cc2ccccc2)C(=O)NC(C(N)=O)c2ccccc2)CC1,486.6,3.21,3,5,0.407,1
full,CCCC(NC(=O)C(Cc1ccccc1)NC(=O)COCc1ccccc1)C(=O)OCc1ccccc1,502.6,3.96,2,5,0.326,0
full,N#Cc1nc(-c2ccc(C(=O)O)cc2)cnc1N1C[C@@H]2CC[C@H]1C2,320.4,2.7,1,5,0.935,1
full,Cc1nccn1-c1cccc(CCNC(CCc2ccccc2)C(=O)NC(CCc2ccc3c(c2)OCO3)C(=O)[C@H](CNC(=O)C(F)(F)F)CC(C)C)c1,747.9,6.07,3,7,0.106,0
full,CC(NC(=O)OCc1cccc(C(F)(F)F)c1)C(=O)NC(CCc1ccccc1)C(=O)N[C@H](C#N)CC1CCCCC1,586.7,5.42,3,5,0.307,0
full,CCCCC(=NC(=O)C1CCCN1C(=O)C(CCc1ccccc1)NS(=O)(=O)c1ccccc1)C(=O)N[C@@H](C)c1ccccc1,630.8,4.99,2,5,0.243,0
full,COc1ccc(-c2cc(C(=O)NCc3cccc(Cl)c3F)ccc2C#N)c(OC)c1,424.9,4.96,1,4,0.606,1
full,N#CC1(CC(NC(=O)c2ccc(-c3ccccc3)cc2)C(=O)N[CH]C[C@H](/C(F)=C/N)N2CCOCC2)CCC1,532.6,3.67,3,6,0.406,0
full,C[C@H](CC(=O)N1CCC1NC(=O)C1CCCN(S(=O)(=O)c2ccccc2)C1)NC(=O)OC(C)(C)C,508.6,2.07,2,6,0.581,0
full,O=C(NCc1ccccc1C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O)OCC1CCCCC1,585.7,4.65,4,5,0.231,0
full,CC(C)CC(NC(=O)c1ccccc1)C(=O)N[C@@H](Cc1ccccc1)NC(=O)OCc1ccccc1,487.6,4.44,3,4,0.348,1
full,N#CNC(=N)c1ccc(OCCCC(=O)O)cc1,247.3,1.33,3,4,0.231,1
full,C[C@H]1C[C@]1(C#N)OC(=O)NC(Cc1ccccc1)C(=O)NCC(F)(F)F,369.3,2.3,2,4,0.805,1
full,CC(C)CC(NC(C(=O)NC(Cc1ccccc1)C(=O)NC(=O)CCS(=O)(=O)c1ccccc1)C(C)C)C(=O)NCc1ccccc1,662.9,3.57,4,7,0.173,0
full,COc1ccccc1OCC(=O)NC(C(=O)N(Cc1ccccc1)N(C)C#N)c1ccccc1,458.5,3.29,1,6,0.285,1
full,CC(C)CC(C#N)C(N)C(=O)NC(C)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCC(=O)O)C1CCOCC1,571.7,1.9,5,7,0.199,0
full,CC(C)CN(C#N)C(=O)C[C@H](Cc1ccccc1)NC(=O)Oc1ccccc1,379.5,3.74,1,4,0.559,1
full,N#CCNC(=O)C(CCc1ccco1)N1C(=O)CCCc2c(-c3nnc(SCc4cccc(C(F)(F)F)c4)o3)cccc21,609.6,5.95,1,8,0.173,0
full,Cn1nccc1-c1ccc(CCNC(=O)C(C#N)NC(=O)C2CCCCC2)c(F)c1,411.5,2.47,2,4,0.731,1
full,COC(=O)C1O[C@@H]1CC#N,141.1,-0.16,0,4,0.396,1
full,N#C[C@H](Cc1csc(-c2ccccc2)n1)NC(=O)C(=O)NC1(C#N)CC1,365.4,1.53,2,6,0.779,1
full,COc1ncc(-c2ccc(CN[C@@H](CCc3ccccc3)CNS(=O)(=O)c3cc4ccc(C(F)(F)F)cc4c(=O)o3)cc2)cn1,638.7,5.35,2,8,0.188,0
full,O=C(NCC(=O)N1CCc2ccc(C(=O)N3CC(Oc4cccc(Br)c4)C3)cc21)OCc1ccccc1,564.4,4.17,1,5,0.466,0
full,COc1cc(CC(=O)NC(CC(C)C)C(=O)N[C@H](CC#N)CC(O)(NCC(=O)OCc2ccccc2)C(=O)O)ccc1-c1ccc(C(F)(F)F)cc1,726.7,4.35,5,9,0.093,0
full,CC(C)CC(OC(=O)NC(Cc1ccccc1)C(=O)C(Cc1ccccc1)NC(=O)Cc1ccccc1)C(=O)O,544.6,4.36,3,5,0.277,0
full,Cc1nc2ccc(C(=O)NC(/C=C(/F)C(F)(F)F)C(O)C(=O)Nc3ccccc3)cc2c2c1CCc1ccccc1-2,563.6,5.82,3,4,0.258,0
full,N#CC1(CNC(=O)C(=O)NC(CCc2cccc(C(F)(F)F)c2)C(=O)NC2(C#N)CC2)CC1,461.4,1.72,3,5,0.507,1
full,CC(C)CN(Cc1ccccc1)C(=O)C(Cc1ccccc1)NS(=O)(=O)C(=O)NC(C(=O)NCC#N)C(C)C,555.7,2.58,3,6,0.324,0
full,CSCC(NC(=O)O[C@H](C)c1cscc1C)[C@@H](NC(=O)Cc1ccc2[nH]ccc2c1)C(F)F,495.6,5.05,3,5,0.368,0
full,COC(=O)C1CO[C@H](/C=C/[C@H](CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(c2ccccc2)C2(C)CC2)O1,528.7,4.1,2,6,0.295,0
full,COC(c1ccccc1)([C@H](C)NC(=O)c1cc(F)cc(-c2ccc(S(=O)(=O)N3CCOCC3)cc2)c1)C(F)(F)F,580.6,4.74,1,5,0.39,0
full,CCCOC(=O)NC(C(N)=O)[C@H](CC(C)C)NC(=O)OCC#N,328.4,0.64,3,6,0.566,1
full,C[C@H](Cc1ccccc1)NC(=O)C(CCc1ccccc1)NC(=O)C1C[C@@H](CN2CCOCC2)N(c2ccc3ccccc3c2)C1=O,632.8,4.76,2,5,0.22,0
full,O=C(O)CCC(NC(=O)c1ccccc1)C(=O)NC(CC1CCCC1)C(=O)NC1CCCC1,457.6,2.77,4,4,0.407,1
full,N#C[C@H](CNC(=O)C1CCCN1C#N)OCc1ccccc1,298.3,1.16,1,5,0.796,1
full,N#Cc1ccc(CC(NC(=O)C(Cc2ccccc2)NC(=O)c2ccc(F)cc2)C(=O)N[C@H](C#N)C(F)(F)F)cc1,565.5,3.34,3,5,0.324,0
full,Cn1cc(-c2ccc3c(c2)S(=O)(=O)[C@H](C(N[C@@H](c2ccccc2)C(F)(F)F)C(=O)NCC#N)C3)cn1,517.5,2.69,2,6,0.466,0
full,CC(C)CC(OCc1ccccc1)C(=O)NC(C(=O)OCc1ccccc1)C(C)C,411.5,4.5,1,4,0.553,1
full,O=C(/C=C/c1nc(-c2cccs2)cs1)OCC1CCCCC1,333.5,5.01,0,5,0.57,0
full,CC[C@H](NC(=O)C(CCC(C)C)NC(=O)NCCS(C)(=O)=O)c1ccc(S(=O)(=O)c2ccc(F)cc2F)cc1,587.7,3.51,3,6,0.307,0
full,CC(C)OC(=O)NC(C(=O)NC(Cc1ccccc1)C(=O)OC(C)C)C(C)C,392.5,2.82,2,5,0.63,1
full,CC(C)(C#N)CCNC(=O)c1ccc2ccccc2c1,266.3,3.51,1,2,0.92,1
full,C#C[C@H](Cc1ccc(-c2nc(C#N)co2)cc1)NC(=O)C(CCc1ccccc1)NC(=O)OCc1ccccc1C#N,557.6,4.67,2,7,0.255,0
full,CN(CCC#N)C(=O)C1(c2ccc(-c3ccccc3)cc2)CCC1,318.4,4.15,0,2,0.831,1
full,CNC(Cc1ccccc1)C(=O)N[C@H]1CCCCC1C(=O)OCc1c[nH]c2ccccc12,433.6,3.72,3,4,0.473,1
full,CC(C)CN(NC(=O)C(Cc1ccccc1)NS(=O)(=O)c1ccccc1)S(=O)(=O)/C=C/C#N,490.6,1.93,2,6,0.365,1
full,N#CC(NC(=O)Oc1ccccc1)C(=O)c1ccccc1,280.3,2.55,1,4,0.873,1
full,CS(=O)(=O)Oc1cccc(C[C@H](NC(=O)c2oc3cccc(Br)c3c2O)c2ccccc2)c1,530.4,4.95,2,6,0.328,0
full,COC(=O)C[C@H](NC(=O)C(Cc1ccccc1)NC(=O)c1ccc(-c2ccccc2)cc1)[C@H](CC(C)C)NS(=O)(=O)c1ccc(OCCF)cc1,717.9,5.48,3,7,0.116,0
full,CCN(C(=O)c1ccc2ccccc2c1)C(C(=O)NC(Cc1ccccc1)C(C)C(=O)N(C#N)C(C)(C)C)S(=O)(=O)CC,604.8,4.53,1,6,0.253,0
full,CC(C)CC(C(=O)NC(CCc1ccccc1)C(=O)N[C@H](C#N)c1ccc2ccccc2c1)C(=O)c1ccccc1,545.7,6.18,2,4,0.164,0
full,CC(=O)N1CCCC(C(=O)NC(NC(=O)CF)C(=O)N[C@@H](Cc2ccc(-c3ccccc3)cc2)CC(F)(F)F)[C@@H]1c1ccc(Cl)cc1,675.1,5.51,3,4,0.184,0
full,CC(C)C(O)(CS(=O)(=O)/C=C/C(=O)NC(Cc1cccs1)C(N)=O)c1ccc2ccccc2c1,500.6,2.89,3,6,0.369,0
full,N#CCNC(=O)C(Cc1ccc(O)cc1)NC(=O)C(NC(=O)Cc1ccccc1)C(=O)OCC1CCCCC1,534.6,1.91,4,7,0.184,0
full,COC(=O)C(Cc1ccccc1)NC(=O)c1cc(Cl)cc(NC(CC(C)C)C(=O)NC(Cc2ccccc2)C(=O)OC)c1,608.1,4.58,3,7,0.229,0
full,CC(C)CCNC(=O)C(CC1CCCCC1)NC(=O)C(CC(=O)O)NC(=O)C(N)Cc1ccccc1,502.7,2.13,5,5,0.263,0
full,CC(C)CC(NC(=O)OCc1ccccc1)C(=O)NC(CC(C)C)C(=O)OCc1ccccc1,468.6,4.6,2,5,0.444,1
full,CSCCC(NC(=O)C1CC(=O)N1CC#N)C(=O)N1CCCC1,338.4,-0.03,1,5,0.52,1
full,N#Cc1cccc(NC(=O)C(Cc2ccccc2)NC(=O)C2C[C@@H]2c2ccc(O)cc2)c1,425.5,3.73,3,4,0.537,1
full,CC(C)(C)OC(=O)NCC#N,156.2,1.03,1,3,0.577,1
full,CC(C)CC(C)(C)NC(=O)CC(=O)NC(CCCCN)C(=O)NCCc1ccccc1,432.6,2.29,4,4,0.267,1
full,CC[C@H](C)[C@H](NC(=O)c1cc(C#N)cc(-c2ccccc2)c1)/C(F)=C/OC,366.4,4.83,1,3,0.714,1
full,CC(C)C[C@@H](NC(=O)C(Cc1ccccc1)C(=O)NC1(C#N)CC1)NC(C)c1cc2ccccc2o1,486.6,4.6,3,5,0.271,1
full,O=C(NC(Cc1ccccc1)C(=O)Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NCCc1ccccc1,561.7,3.61,3,4,0.217,0
full,CSCC[C@@H](C#N)NC(=O)C(Cc1ccccc1)NC(C)(C)C,333.5,2.75,2,4,0.768,1
full,CCCC[C@@H](/C=C/C(=O)O)NC(CCC)C(=O)C(Cc1ccccc1)NS(=O)(=O)c1cccc(F)c1,518.7,4.24,3,5,0.287,0
full,O=C(NC(Cc1ccc(-c2ccccc2)cc1)C(=O)NC(=O)c1ccc(C(F)(F)F)cc1)C(=O)N1CCCC1,537.5,3.98,2,4,0.465,0
full,O=C(NC(CCCc1ccc(C(F)(F)F)cc1)C(=O)Nc1ccccc1)OC1CCCCC1,462.5,6.09,2,3,0.499,0
full,CC(NC(=O)C(N)C/C=C/C#N)C(=O)NC(C(=O)N1CCCC1)c1ccccc1,397.5,0.77,3,5,0.558,1
full,CCOc1ccc(CN(CCC#N)C(=O)C(NC(=O)Oc2ccccc2)C(C)C)cc1,423.5,4.14,1,5,0.62,1
full,CC(C)CC(NC(=O)Oc1ccccc1)[C@H](Cc1ccccc1)NC(=O)C(C#N)NC(=O)c1cccc(Cl)c1,547.1,4.89,3,5,0.316,0
full,CC(C)CC(NC(=O)C(/C=C/[C@H](C)NC(=O)COCc1ccccc1)OCc1ccccc1)C(=O)OC(C)(C)C,552.7,4.72,2,6,0.245,0
full,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(C#N)NC(=O)CO,333.4,1.12,3,5,0.722,1
full,CC(C[C@@H](O)c1ccccc1)NC(=O)C(N)Cc1ccccc1,312.4,2.18,3,3,0.733,1
full,COC(=O)C(Cc1ccccc1)NC(=O)C(=O)NCCc1ccccc1,354.4,1.25,2,4,0.579,1
full,CN1CCCC1C(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)c1ccc(-n2ccnc2)cc1)C(C)(C)C,515.7,3.41,2,5,0.455,0
full,CC(C)OC(=O)NC(Cc1ccccc1)C(=O)NCC(C)(C)C,320.4,2.89,2,3,0.847,1
full,Cc1nnc(CNC(COc2c(F)cc(C#N)cc2S(=O)(=O)c2ccc(C3CC3)cc2)C(=O)NC2(C#N)CC2)o1,564.6,2.81,2,10,0.353,0
full,C[C@@H](NC(C(=O)NC(C(=O)N[C@H](Cc1ccccc1)c1ccccc1)C(=O)N(C)C)N1CCN(C)CC1)c1ccccc1,584.8,2.58,3,6,0.283,0
full,CO[C@@H]1C[C@H](c2ccccc2)[C@](C(=O)NCC#N)(C(=O)NC(Cc2ccccc2)C(=O)NCc2ccccc2)C1,538.6,3.25,3,5,0.256,0
full,Cc1cc(C(=O)NC2(C#N)CC2)nc2ccccc12,251.3,2.33,1,3,0.89,1
full,CC(C)C[C@H](NC(=O)C(C)(C)OCc1ccccc1Cl)C(C#N)c1ccccc1,413.0,5.47,1,3,0.593,0
full,COC(=O)NC(C(=O)N/C(=C\S(=O)(=O)c1ccccc1Sc1ccccc1)CCCCF)c1ccccc1,556.7,5.81,2,6,0.273,0
full,CSCC(NC(=O)O[C@H]1CCO[C@H]1COC(=O)Nc1cccc(-c2ccccc2)c1)C(=O)NCC#N,512.6,3.16,3,8,0.413,0
full,CC(C)(C)C(=O)NC1(C(=O)O)CC1,185.2,0.77,2,2,0.667,1
full,COC(=O)/C=C/[C@H](CC1CCCCC1)NC(=O)C(CC(C)C)NC(=O)c1ccco1,418.5,3.61,2,5,0.447,1
full,COC(=O)NC(Cc1ccccc1)C(=O)C(=O)C(=O)N[C@H](C)Cc1ccccc1,396.4,1.84,2,5,0.497,1
full,Cc1cccc(C(=O)NC(CC(C)C)C(=O)NC2(C#N)CC2)c1,313.4,2.31,2,3,0.845,1
full,CC(C)(C)OC(=O)C(=O)NC(Cc1ccccc1)C(=O)OC(C)(C)C,349.4,2.4,1,5,0.667,1
full,CC[C@H](Nc1nc(C(C)(C)C)nc2ccccc12)c1cccc(C#N)c1,344.5,5.36,1,4,0.692,0
full,O=C(c1cc2ccccc2o1)C(Cc1ccccc1)NC(=O)C(NC/C=C/F)c1ccc(OCCO)cc1,516.6,4.53,3,6,0.226,0
full,CC(C)COC(=O)C(Cc1ccccc1)NC(=O)C(Cc1c(C=O)[nH]c2ccccc12)=NC(=O)C(NC(=O)c1ccccc1)C(C)C,636.7,4.87,3,6,0.102,0
full,NC(N)=NCC(=O)NC(C(=O)N1CCCC1C(=O)Nc1cc2cccc(Cl)c2o1)c1ccccc1,497.0,2.15,4,5,0.29,1
full,CC(C)C(=NC(=O)C=CCNC(=O)C(Cc1ccccc1)=NC(=O)OCc1ccccc1)C(=O)OCc1ccccc1,567.6,5.05,1,6,0.186,0
full,CC(C)[C@H](c1cc2ccccc2o1)C(NC(=O)c1ccc(Cl)cc1)C(=O)C#N,394.9,4.72,1,4,0.613,1
full,CC(C)CC(NC(=O)c1ccccc1)C(=O)C(Cc1ccccc1)NC(=O)C(=O)OCc1ccccc1,500.6,3.87,2,5,0.307,0
full,CC(C)[C@@H](CC(=O)NC(=O)C(F)(F)F)NC(=O)c1ccccc1F,348.3,2.18,2,3,0.801,1
full,COC(=O)C(CC(C)C)NC(=O)C(CCc1ccccc1)NC(C)=O,348.4,1.83,2,4,0.667,1
full,CC(C#N)CCc1nn(CCCc2ccccc2)c2cc(Br)ccc12,396.3,5.52,0,2,0.527,0
full,CC(C)[C@@H](C#N)NC(=O)C(NC(=O)OCc1ccccc1)c1ccc(-c2cccc(OCCO)c2)cc1,501.6,4.36,3,6,0.359,0
full,CC(C)C(NC(=O)c1ccc(-c2ccccc2)cc1)C(=O)N[C@H](CO)c1ccccc1,416.5,3.96,3,3,0.52,1
full,COC(=O)CCC(=O)NC(=O)C(NCC(=O)OCc1ccccc1)C(=O)N[C@H](C)Cc1ccccc1,497.5,1.03,3,8,0.275,1
full,COc1ccc(-c2scc(C=O)c2OCCc2ccccc2)cc1,338.4,4.86,0,4,0.577,1
